"AB_ZEIT";"AN_ZEIT";"AB_HST_NAME";"AN_HST_NAME";"TRANSPORTMITTEL";"LINIE"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"6:14 (22440)";"6:15 (22500)";"Dresden Brunnenweg";"Dresden Hellerau Kiefernweg";"TRAM";"8"
"Next";"Trips";"";"";"Taking:";"0:11 (660)"
"6:19 (22740)";"6:20 (22800)";"Dresden Hellerau Kiefernweg";"Dresden Brunnenweg";"TRAM";"8"
"6:20 (22800)";"6:21 (22860)";"Dresden Brunnenweg";"Dresden Festspielhaus Hellerau";"TRAM";"8"
"6:21 (22860)";"6:22 (22920)";"Dresden Festspielhaus Hellerau";"Dresden Heinrich-Tessenow-Weg";"TRAM";"8"
"6:22 (22920)";"6:23 (22980)";"Dresden Heinrich-Tessenow-Weg";"Dresden Am Hellerrand";"TRAM";"8"
"6:23 (22980)";"6:25 (23100)";"Dresden Am Hellerrand";"Dresden Infineon S¸d";"TRAM";"8"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"6:39 (23940)";"6:40 (24000)";"Weixdorf Haltepunkt Bad";"Weixdorf (Rathenaustraﬂe)";"TRAM";"7"
"Next";"Trips";"";"";"Taking:";"0:30 (1800)"
"6:45 (24300)";"6:47 (24420)";"Weixdorf (Rathenaustraﬂe)";"Weixdorf Haltepunkt Bad";"TRAM";"7"
"6:47 (24420)";"6:49 (24540)";"Weixdorf Haltepunkt Bad";"Weixdorf Fuchsberg";"TRAM";"7"
"6:49 (24540)";"6:50 (24600)";"Weixdorf Fuchsberg";"DD Industriepark Klotzsche";"TRAM";"7"
"6:50 (24600)";"6:51 (24660)";"DD Industriepark Klotzsche";"Dresden Arkonastraﬂe";"TRAM";"7"
"6:51 (24660)";"6:53 (24780)";"Dresden Arkonastraﬂe";"Dresden K‰the-Kollwitz-Platz";"TRAM";"7"
"6:53 (24780)";"6:55 (24900)";"Dresden K‰the-Kollwitz-Platz";"Dresden Zur Neuen Br¸cke";"TRAM";"7"
"6:55 (24900)";"6:57 (25020)";"Dresden Zur Neuen Br¸cke";"Dresden Karl-Marx-Straﬂe";"TRAM";"7"
"6:57 (25020)";"6:58 (25080)";"Dresden Karl-Marx-Straﬂe";"Dresden Infineon Nord";"TRAM";"7"
"6:58 (25080)";"7:00 (25200)";"Dresden Infineon Nord";"Dresden Infineon S¸d";"TRAM";"7"
"7:00 (25200)";"7:01 (25260)";"Dresden Infineon S¸d";"Dresden Moritzburger Weg";"TRAM";"7"
"7:01 (25260)";"7:03 (25380)";"Dresden Moritzburger Weg";"Dresden Hellersiedlung";"TRAM";"7"
"7:03 (25380)";"7:04 (25440)";"Dresden Hellersiedlung";"Dresden Industriegel‰nde";"TRAM";"7"
"7:04 (25440)";"7:05 (25500)";"Dresden Industriegel‰nde";"Dresden Heeresb‰ckerei";"TRAM";"7"
