"AB_ZEIT";"AN_ZEIT";"AB_HST_NAME";"AN_HST_NAME";"TRANSPORTMITTEL";"LINIE"
"7:05 (25500)";"7:07 (25620)";"Dresden Heeresb‰ckerei";"Dresden Stauffenbergallee";"TRAM";"7"
"7:07 (25620)";"7:08 (25680)";"Dresden Stauffenbergallee";"Dresden Tannenstraﬂe";"TRAM";"7"
"7:08 (25680)";"7:09 (25740)";"Dresden Tannenstraﬂe";"Dresden Bischofsweg";"TRAM";"7"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"7:40 (27600)";"7:41 (27660)";"Dresden Washingtonstraﬂe";"Dresden Riegelplatz";"TRAM";"9"
"Next";"Trips";"";"";"Taking:";"0:10 (600)"
"7:43 (27780)";"7:44 (27840)";"Dresden Riegelplatz";"Dresden Washingtonstraﬂe";"TRAM";"9"
"7:44 (27840)";"7:45 (27900)";"Dresden Washingtonstraﬂe";"Dresden ElbePark";"TRAM";"9"
"7:45 (27900)";"7:46 (27960)";"Dresden ElbePark";"Dresden Sˆrnewitzer Straﬂe";"TRAM";"9"
"7:46 (27960)";"7:47 (28020)";"Dresden Sˆrnewitzer Straﬂe";"Dresden An der Flutrinne";"TRAM";"9"
"7:47 (28020)";"7:49 (28140)";"Dresden An der Flutrinne";"Dresden Trachauer Straﬂe";"TRAM";"9"
"7:49 (28140)";"7:50 (28200)";"Dresden Trachauer Straﬂe";"Dresden Mickten";"TRAM";"9"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"8:03 (28980)";"8:04 (29040)";"Dresden Am Trachauer Bahnhof";"Dresden Rankestraﬂe";"TRAM";"4"
"Next";"Trips";"";"";"Taking:";"0:05 (300)"
"8:04 (29040)";"8:05 (29100)";"Dresden Rankestraﬂe";"Dresden Alttrachau";"TRAM";"4"
"8:05 (29100)";"8:07 (29220)";"Dresden Alttrachau";"Dresden Mickten";"TRAM";"4"
"8:07 (29220)";"8:08 (29280)";"Dresden Mickten";"Dresden Altpieschen";"TRAM";"4"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"8:15 (29700)";"8:16 (29760)";"Dresden Palaisplatz";"Dresden Neust‰dter Markt";"TRAM";"4"
"Next";"Trips";"";"";"Taking:";"0:05 (300)"
"8:16 (29760)";"8:18 (29880)";"Dresden Neust‰dter Markt";"Dresden Theaterplatz";"TRAM";"4"
"8:18 (29880)";"8:20 (30000)";"Dresden Theaterplatz";"Dresden Postplatz";"TRAM";"4"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"8:46 (31560)";"8:47 (31620)";"Dresden Leubener Straﬂe";"Dresden Kronst‰dter Platz";"TRAM";"4"
"Next";"Trips";"";"";"Taking:";"0:03 (180)"
"8:48 (31680)";"8:49 (31740)";"Dresden Kronst‰dter Platz";"Dresden Leubener Straﬂe";"TRAM";"4"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"9:09 (32940)";"9:10 (33000)";"Dresden Fˆrsterlingstraﬂe";"Dresden Bf Niedersedlitz";"TRAM";"6"
"Next";"Trips";"";"";"Taking:";"0:15 (900)"
"9:19 (33540)";"9:20 (33600)";"Dresden Bf Niedersedlitz";"Dresden Fˆrsterlingstraﬂe";"TRAM";"6"
"9:20 (33600)";"9:21 (33660)";"Dresden Fˆrsterlingstraﬂe";"Dresden Straﬂe des 17. Juni";"TRAM";"6"
"9:21 (33660)";"9:22 (33720)";"Dresden Straﬂe des 17. Juni";"Dresden Guerickestraﬂe";"TRAM";"6"
"9:22 (33720)";"9:24 (33840)";"Dresden Guerickestraﬂe";"Dresden Berthold-Haupt-Straﬂe";"TRAM";"6"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"9:35 (34500)";"9:36 (34560)";"Dresden Meuﬂlitzer Straﬂe";"Dresden Freystraﬂe";"TRAM";"2"
"Next";"Trips";"";"";"Taking:";"0:07 (420)"
"9:37 (34620)";"9:38 (34680)";"Dresden Freystraﬂe";"Dresden Meuﬂlitzer Straﬂe";"TRAM";"2"
"9:38 (34680)";"9:39 (34740)";"Dresden Meuﬂlitzer Straﬂe";"Dresden Heckenweg";"TRAM";"2"
"9:39 (34740)";"9:41 (34860)";"Dresden Heckenweg";"Dresden Berthold-Haupt-Straﬂe";"TRAM";"2"
"9:41 (34860)";"9:42 (34920)";"Dresden Berthold-Haupt-Straﬂe";"Dresden Altleuben";"TRAM";"2"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"10:28 (37680)";"10:29 (37740)";"Dresden Georg-Palitzsch-Straﬂe";"Dresden Prohlis Gleisschleife";"TRAM";"13"
"Next";"Trips";"";"";"Taking:";"0:13 (780)"
"10:37 (38220)";"10:38 (38280)";"Dresden Prohlis Gleisschleife";"Dresden Georg-Palitzsch-Straﬂe";"TRAM";"13"
"10:38 (38280)";"10:39 (38340)";"Dresden Georg-Palitzsch-Straﬂe";"Dresden Jacob-Winter-Platz";"TRAM";"13"
"10:39 (38340)";"10:41 (38460)";"Dresden Jacob-Winter-Platz";"Dresden Albert-Wolf-Platz";"TRAM";"13"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"10:49 (38940)";"10:51 (39060)";"Dresden Breitscheidstraﬂe";"Dresden Abzweig nach Reick";"TRAM";"1"
"Next";"Trips";"";"";"Taking:";"0:17 (1020)"
"10:51 (39060)";"10:52 (39120)";"Dresden Abzweig nach Reick";"Dresden Lassallestraﬂe";"TRAM";"1"
"10:52 (39120)";"10:53 (39180)";"Dresden Lassallestraﬂe";"Dresden Prof.-Ricker-Straﬂe";"TRAM";"1"
"10:53 (39180)";"10:54 (39240)";"Dresden Prof.-Ricker-Straﬂe";"Dresden Marienberger Straﬂe";"TRAM";"1"
"10:54 (39240)";"10:55 (39300)";"Dresden Marienberger Straﬂe";"Dresden Rennplatzstraﬂe";"TRAM";"1"
"10:55 (39300)";"10:56 (39360)";"Dresden Rennplatzstraﬂe";"Dresden Rauensteinstraﬂe";"TRAM";"1"
"10:56 (39360)";"10:57 (39420)";"Dresden Rauensteinstraﬂe";"Dresden Liebst‰dter Straﬂe";"TRAM";"1"
"10:57 (39420)";"10:59 (39540)";"Dresden Liebst‰dter Straﬂe";"Dresden Zwinglistraﬂe";"TRAM";"1"
"10:59 (39540)";"11:01 (39660)";"Dresden Zwinglistraﬂe";"Dresden Karcherallee";"TRAM";"1"
"11:01 (39660)";"11:02 (39720)";"Dresden Karcherallee";"Dresden Lipsiusstraﬂe";"TRAM";"1"
"11:02 (39720)";"11:04 (39840)";"Dresden Lipsiusstraﬂe";"Dresden Comeniusplatz";"TRAM";"1"
"11:04 (39840)";"11:06 (39960)";"Dresden Comeniusplatz";"Dresden Straﬂburger Platz";"TRAM";"1"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"11:22 (40920)";"11:24 (41040)";"Dresden Alaunplatz";"Dresden Bischofsweg";"TRAM";"13"
"Next";"Trips";"";"";"Taking:";"0:08 (480)"
"11:24 (41040)";"11:26 (41160)";"Dresden Bischofsweg";"Dresden Bischofsplatz";"TRAM";"13"
"11:26 (41160)";"11:27 (41220)";"Dresden Bischofsplatz";"Dresden Friedensstraﬂe";"TRAM";"13"
"11:27 (41220)";"11:30 (41400)";"Dresden Friedensstraﬂe";"Dresden Liststraﬂe";"TRAM";"13"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"11:46 (42360)";"11:48 (42480)";"Dresden Dorothea-Erxleben-Str";"Dresden Wilder Mann";"TRAM";"3"
"Next";"Trips";"";"";"Taking:";"0:15 (900)"
"11:54 (42840)";"11:55 (42900)";"Dresden Wilder Mann";"Dresden Dorothea-Erxleben-Str";"TRAM";"3"
"11:55 (42900)";"11:56 (42960)";"Dresden Dorothea-Erxleben-Str";"Dresden Hubertusplatz";"TRAM";"3"
"11:56 (42960)";"11:58 (43080)";"Dresden Hubertusplatz";"Dresden Trachenberger Platz";"TRAM";"3"
"11:58 (43080)";"11:59 (43140)";"Dresden Trachenberger Platz";"Dresden Zeithainer Straﬂe";"TRAM";"3"
"11:59 (43140)";"12:01 (43260)";"Dresden Zeithainer Straﬂe";"Dresden Liststraﬂe";"TRAM";"3"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"12:41 (45660)";"12:43 (45780)";"Dresden Gottfried-Keller-Str.";"Dresden Leutewitz";"TRAM";"12"
"Next";"Trips";"";"";"Taking:";"0:05 (300)"
"12:43 (45780)";"12:45 (45900)";"Dresden Leutewitz";"Dresden Gottfried-Keller-Str.";"TRAM";"12"
"12:45 (45900)";"12:46 (45960)";"Dresden Gottfried-Keller-Str.";"DD Cossebauder Str (Hp Cotta)";"TRAM";"12"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"12:59 (46740)";"13:02 (46920)";"Dresden Schweriner Straﬂe";"Dresden Postplatz";"TRAM";"1"
"Next";"Trips";"";"";"Taking:";"0:06 (360)"
"13:02 (46920)";"13:03 (46980)";"Dresden Postplatz";"Dresden Altmarkt";"TRAM";"1"
"13:03 (46980)";"13:05 (47100)";"Dresden Altmarkt";"Dresden Pirnaischer Platz";"TRAM";"1"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"13:09 (47340)";"13:11 (47460)";"Dresden Synagoge";"Dresden Carolaplatz";"TRAM";"3"
"Next";"Trips";"";"";"Taking:";"0:04 (240)"
"13:11 (47460)";"13:13 (47580)";"Dresden Carolaplatz";"Dresden Albertplatz";"TRAM";"3"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"13:13 (47580)";"13:15 (47700)";"Dresden Albertplatz";"Dresden Bahnhof Neustadt";"TRAM";"3"
"Next";"Trips";"";"";"Taking:";"0:11 (660)"
"13:22 (48120)";"13:24 (48240)";"Dresden Bahnhof Neustadt";"Dresden Albertplatz";"TRAM";"11"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"13:40 (49200)";"13:42 (49320)";"Dresden Grundstraﬂe";"Dresden B¸hlau Ullersdorfer Pl";"TRAM";"11"
"Next";"Trips";"";"";"Taking:";"0:34 (2040)"
"13:48 (49680)";"13:49 (49740)";"Dresden B¸hlau Ullersdorfer Pl";"Dresden Grundstraﬂe";"TRAM";"11"
"13:49 (49740)";"13:50 (49800)";"Dresden Grundstraﬂe";"Dresden Hegereiterstraﬂe";"TRAM";"11"
"13:50 (49800)";"13:51 (49860)";"Dresden Hegereiterstraﬂe";"Dresden Neub¸hlauer Straﬂe";"TRAM";"11"
"13:51 (49860)";"13:52 (49920)";"Dresden Neub¸hlauer Straﬂe";"Dresden Am Weiﬂen Adler";"TRAM";"11"
"13:52 (49920)";"13:54 (50040)";"Dresden Am Weiﬂen Adler";"Dresden Plattleite";"TRAM";"11"
"13:54 (50040)";"13:56 (50160)";"Dresden Plattleite";"Dresden Mordgrundbr¸cke";"TRAM";"11"
"13:56 (50160)";"13:57 (50220)";"Dresden Mordgrundbr¸cke";"Dresden Elbschlˆsser";"TRAM";"11"
"13:57 (50220)";"13:58 (50280)";"Dresden Elbschlˆsser";"Dresden Wilhelminenstraﬂe";"TRAM";"11"
"13:58 (50280)";"14:00 (50400)";"Dresden Wilhelminenstraﬂe";"Dresden Angelikastraﬂe";"TRAM";"11"
"14:00 (50400)";"14:01 (50460)";"Dresden Angelikastraﬂe";"Dresden Waldschlˆﬂchen";"TRAM";"11"
"14:01 (50460)";"14:03 (50580)";"Dresden Waldschlˆﬂchen";"Dresden Nordstraﬂe";"TRAM";"11"
"14:03 (50580)";"14:04 (50640)";"Dresden Nordstraﬂe";"Dresden Diakonissenkrankenhaus";"TRAM";"11"
"14:04 (50640)";"14:05 (50700)";"Dresden Diakonissenkrankenhaus";"Dresden Pulsnitzer Straﬂe";"TRAM";"11"
"14:05 (50700)";"14:06 (50760)";"Dresden Pulsnitzer Straﬂe";"DD Bautzner/Rothenburger Str.";"TRAM";"11"
"14:09 (50940)";"14:11 (51060)";"DD Bautzner/Rothenburger Str.";"Dresden Rosa-Luxemburg-Platz";"TRAM";"6"
"14:11 (51060)";"14:14 (51240)";"Dresden Rosa-Luxemburg-Platz";"Dresden Sachsenallee";"TRAM";"6"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"14:36 (52560)";"14:37 (52620)";"Dresden Ludwig-Hartmann-Straﬂe";"Dresden Ludwig-Hartmann-Straﬂe";"TRAM";"6"
"Next";"Trips";"";"";"Taking:";"0:09 (540)"
"14:41 (52860)";"14:43 (52980)";"Dresden Ludwig-Hartmann-Straﬂe";"Dresden Johannisfriedhof";"TRAM";"6"
"14:43 (52980)";"14:44 (53040)";"Dresden Johannisfriedhof";"Dresden Tolkewitz Urnenhain";"TRAM";"6"
"14:44 (53040)";"14:45 (53100)";"Dresden Tolkewitz Urnenhain";"Dresden Wasserwerk Tolkewitz";"TRAM";"6"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"14:54 (53640)";"14:55 (53700)";"Dresden Wasserwerk Tolkewitz";"Dresden Johannisfriedhof";"TRAM";"6"
"Next";"Trips";"";"";"Taking:";"0:15 (900)"
"14:55 (53700)";"14:56 (53760)";"Dresden Johannisfriedhof";"Dresden Ludwig-Hartmann-Straﬂe";"TRAM";"6"
"15:00 (54000)";"15:01 (54060)";"Dresden Ludwig-Hartmann-Straﬂe";"Dresden Altenberger Straﬂe";"TRAM";"10"
"15:01 (54060)";"15:02 (54120)";"Dresden Altenberger Straﬂe";"Dresden Gottleubaer Straﬂe";"TRAM";"10"
"15:02 (54120)";"15:04 (54240)";"Dresden Gottleubaer Straﬂe";"Dresden Pohlandplatz";"TRAM";"10"
"15:04 (54240)";"15:05 (54300)";"Dresden Pohlandplatz";"Dresden Bergmannstraﬂe";"TRAM";"10"
"15:05 (54300)";"15:06 (54360)";"Dresden Bergmannstraﬂe";"Dresden Spenerstraﬂe";"TRAM";"10"
"15:06 (54360)";"15:07 (54420)";"Dresden Spenerstraﬂe";"Dresden Mosenstraﬂe";"TRAM";"10"
"15:07 (54420)";"15:09 (54540)";"Dresden Mosenstraﬂe";"Dresden Fetscherplatz";"TRAM";"10"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"15:16 (54960)";"15:17 (55020)";"Dresden Gabelsbergerstraﬂe";"DD Blasewitzer/Fetscherstraﬂe";"TRAM";"12"
"Next";"Trips";"";"";"Taking:";"0:20 (1200)"
"15:19 (55140)";"15:21 (55260)";"DD Blasewitzer/Fetscherstraﬂe";"Dresden Trinitatisplatz";"TRAM";"6"
"15:21 (55260)";"15:22 (55320)";"Dresden Trinitatisplatz";"Dresden Permoserstraﬂe";"TRAM";"6"
"15:22 (55320)";"15:24 (55440)";"Dresden Permoserstraﬂe";"Dresden Sachsenallee";"TRAM";"6"
"15:24 (55440)";"15:26 (55560)";"Dresden Sachsenallee";"Dresden Rosa-Luxemburg-Platz";"TRAM";"6"
"15:26 (55560)";"15:28 (55680)";"Dresden Rosa-Luxemburg-Platz";"DD Bautzner/Rothenburger Str.";"TRAM";"6"
"15:28 (55680)";"15:30 (55800)";"DD Bautzner/Rothenburger Str.";"Dresden Albertplatz";"TRAM";"6"
"15:30 (55800)";"15:33 (55980)";"Dresden Albertplatz";"Dresden Bahnhof Neustadt";"TRAM";"6"
"15:33 (55980)";"15:34 (56040)";"Dresden Bahnhof Neustadt";"Dresden Anton-/Leipziger Str.";"TRAM";"6"
"15:34 (56040)";"15:36 (56160)";"Dresden Anton-/Leipziger Str.";"DD Kongresszentrum/H d Presse";"TRAM";"6"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"15:52 (57120)";"15:53 (57180)";"Dresden Messering (Halle 1)";"Dresden Messe Dresden";"TRAM";"10"
"Next";"Trips";"";"";"Taking:";"0:15 (900)"
"15:59 (57540)";"16:00 (57600)";"Dresden Messe Dresden";"Dresden Messering (Halle 1)";"TRAM";"10"
"16:00 (57600)";"16:01 (57660)";"Dresden Messering (Halle 1)";"Dresden Alberthafen";"TRAM";"10"
"16:01 (57660)";"16:02 (57720)";"Dresden Alberthafen";"Dresden Vorwerkstraﬂe";"TRAM";"10"
"16:02 (57720)";"16:03 (57780)";"Dresden Vorwerkstraﬂe";"DD Krankenhaus Friedrichstadt";"TRAM";"10"
"16:03 (57780)";"16:04 (57840)";"DD Krankenhaus Friedrichstadt";"Dresden Weiﬂeritzstraﬂe";"TRAM";"10"
"16:04 (57840)";"16:07 (58020)";"Dresden Weiﬂeritzstraﬂe";"Dresden Bahnhof Mitte";"TRAM";"10"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"16:32 (59520)";"16:34 (59640)";"Dresden R‰cknitzhˆhe";"Dresden M¸nzmeisterstraﬂe";"TRAM";"11"
"Next";"Trips";"";"";"Taking:";"0:15 (900)"
"16:38 (59880)";"16:39 (59940)";"Dresden M¸nzmeisterstraﬂe";"Dresden R‰cknitzhˆhe";"TRAM";"11"
"16:39 (59940)";"16:41 (60060)";"Dresden R‰cknitzhˆhe";"Dresden Zellescher Weg";"TRAM";"11"
"16:41 (60060)";"16:43 (60180)";"Dresden Zellescher Weg";"Dresden Strehlener Platz";"TRAM";"11"
"16:43 (60180)";"16:45 (60300)";"Dresden Strehlener Platz";"Dresden LennÈplatz";"TRAM";"11"
"16:46 (60360)";"16:47 (60420)";"Dresden LennÈplatz";"Dresden Gret-Palucca-Straﬂe";"TRAM";"11"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"16:47 (60420)";"16:49 (60540)";"Dresden Gret-Palucca-Straﬂe";"Dresden Hauptbahnhof Nord";"TRAM";"11"
"Next";"Trips";"";"";"Taking:";"0:03 (180)"
"16:49 (60540)";"16:50 (60600)";"Dresden Hauptbahnhof Nord";"Dresden Walpurgisstraﬂe";"TRAM";"11"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"17:08 (61680)";"17:10 (61800)";"Dresden Pirnaischer Platz";"Dresden Prager Straﬂe";"TRAM";"12"
"Next";"Trips";"";"";"Taking:";"0:11 (660)"
"17:10 (61800)";"17:12 (61920)";"Dresden Prager Straﬂe";"Dresden Postplatz";"TRAM";"12"
"17:12 (61920)";"17:14 (62040)";"Dresden Postplatz";"Dresden Alfred-Althus-Straﬂe";"TRAM";"12"
"17:14 (62040)";"17:15 (62100)";"Dresden Alfred-Althus-Straﬂe";"Dresden Hp Freiberger Straﬂe";"TRAM";"12"
"17:15 (62100)";"17:16 (62160)";"Dresden Hp Freiberger Straﬂe";"Dresden Rosenstraﬂe";"TRAM";"12"
"17:16 (62160)";"17:17 (62220)";"Dresden Rosenstraﬂe";"Dresden Oederaner Straﬂe";"TRAM";"12"
"17:17 (62220)";"17:18 (62280)";"Dresden Oederaner Straﬂe";"Dresden Saxoniastraﬂe";"TRAM";"12"
"17:18 (62280)";"17:19 (62340)";"Dresden Saxoniastraﬂe";"Dresden Tharandter Straﬂe";"TRAM";"12"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"17:26 (62760)";"17:28 (62880)";"Dresden Cottaer Straﬂe";"Dresden Sch‰ferstraﬂe";"TRAM";"6"
"Next";"Trips";"";"";"Taking:";"0:06 (360)"
"17:31 (63060)";"17:32 (63120)";"Dresden Sch‰ferstraﬂe";"Dresden Cottaer Straﬂe";"TRAM";"6"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"17:59 (64740)";"18:00 (64800)";"Pennrich Gleisschleife";"Pennrich Gleisschleife";"TRAM";"7"
"Next";"Trips";"";"";"Taking:";"0:14 (840)"
"18:03 (64980)";"18:04 (65040)";"Pennrich Gleisschleife";"Gompitz Gompitzer Hˆhe";"TRAM";"7"
"18:04 (65040)";"18:05 (65100)";"Gompitz Gompitzer Hˆhe";"Gompitz Rudolf-Walther-Straﬂe";"TRAM";"7"
"18:05 (65100)";"18:06 (65160)";"Gompitz Rudolf-Walther-Straﬂe";"Dresden Altnossener Straﬂe";"TRAM";"7"
"18:06 (65160)";"18:08 (65280)";"Dresden Altnossener Straﬂe";"Dresden Betriebshof Gorbitz";"TRAM";"7"
"18:08 (65280)";"18:10 (65400)";"Dresden Betriebshof Gorbitz";"Dresden Schlehenstraﬂe";"TRAM";"7"
"18:10 (65400)";"18:11 (65460)";"Dresden Schlehenstraﬂe";"Dresden Kirschenstraﬂe";"TRAM";"7"
"18:11 (65460)";"18:12 (65520)";"Dresden Kirschenstraﬂe";"Dresden Merianplatz";"TRAM";"7"
"18:12 (65520)";"18:13 (65580)";"Dresden Merianplatz";"Dresden Amalie-Dietrich-Platz";"TRAM";"7"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"18:17 (65820)";"18:19 (65940)";"Dresden Malterstraﬂe";"Dresden B¸naustraﬂe";"TRAM";"7"
"Next";"Trips";"";"";"Taking:";"0:04 (240)"
"18:19 (65940)";"18:21 (66060)";"Dresden B¸naustraﬂe";"Dresden Tharandter Straﬂe";"TRAM";"7"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"18:21 (66060)";"18:22 (66120)";"Dresden Tharandter Straﬂe";"Dresden Oederaner Straﬂe";"TRAM";"7"
"Next";"Trips";"";"";"Taking:";"0:14 (840)"
"18:22 (66120)";"18:23 (66180)";"Dresden Oederaner Straﬂe";"Dresden Rosenstraﬂe";"TRAM";"7"
"18:23 (66180)";"18:25 (66300)";"Dresden Rosenstraﬂe";"Dresden Hp Freiberger Straﬂe";"TRAM";"7"
"18:25 (66300)";"18:26 (66360)";"Dresden Hp Freiberger Straﬂe";"Dresden Budapester Straﬂe";"TRAM";"7"
"18:26 (66360)";"18:28 (66480)";"Dresden Budapester Straﬂe";"Dresden Hauptbahnhof";"TRAM";"7"
"18:31 (66660)";"18:33 (66780)";"Dresden Hauptbahnhof";"Dresden Reichenbachstraﬂe";"TRAM";"8"
"18:33 (66780)";"18:35 (66900)";"Dresden Reichenbachstraﬂe";"Dresden N¸rnberger Platz";"TRAM";"8"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"18:50 (67800)";"18:51 (67860)";"Dresden Achtbeeteweg";"Dresden Cosch¸tz";"TRAM";"3"
"Next";"Trips";"";"";"Taking:";"0:36 (2160)"
"18:52 (67920)";"18:52 (67920)";"Dresden Cosch¸tz";"Dresden Achtbeeteweg";"TRAM";"3"
"18:52 (67920)";"18:54 (68040)";"Dresden Achtbeeteweg";"Dresden Saarstraﬂe";"TRAM";"3"
"18:54 (68040)";"18:55 (68100)";"Dresden Saarstraﬂe";"Dresden Kotteweg";"TRAM";"3"
"18:55 (68100)";"18:56 (68160)";"Dresden Kotteweg";"Dresden C‰mmerswalder Straﬂe";"TRAM";"3"
"18:56 (68160)";"18:58 (68280)";"Dresden C‰mmerswalder Straﬂe";"Dresden Plauen Nˆthnitzer Str.";"TRAM";"3"
"18:58 (68280)";"18:59 (68340)";"Dresden Plauen Nˆthnitzer Str.";"Dresden M¸nchner Platz";"TRAM";"3"
"18:59 (68340)";"19:00 (68400)";"Dresden M¸nchner Platz";"Dresden N¸rnberger Platz";"TRAM";"3"
"19:00 (68400)";"19:01 (68460)";"Dresden N¸rnberger Platz";"Dresden Reichenbachstraﬂe";"TRAM";"3"
"19:01 (68460)";"19:03 (68580)";"Dresden Reichenbachstraﬂe";"Dresden Hauptbahnhof";"TRAM";"3"
"19:08 (68880)";"19:09 (68940)";"Dresden Hauptbahnhof";"Dresden Budapester Straﬂe";"TRAM";"10"
"19:09 (68940)";"19:11 (69060)";"Dresden Budapester Straﬂe";"Dresden Hp Freiberger Straﬂe";"TRAM";"10"
"19:14 (69240)";"19:15 (69300)";"Dresden Hp Freiberger Straﬂe";"Dresden Rosenstraﬂe";"TRAM";"12"
"19:15 (69300)";"19:16 (69360)";"Dresden Rosenstraﬂe";"Dresden Oederaner Straﬂe";"TRAM";"12"
"19:16 (69360)";"19:17 (69420)";"Dresden Oederaner Straﬂe";"Dresden Saxoniastraﬂe";"TRAM";"12"
"19:17 (69420)";"19:18 (69480)";"Dresden Saxoniastraﬂe";"Dresden Tharandter Straﬂe";"TRAM";"12"
"19:18 (69480)";"19:19 (69540)";"Dresden Tharandter Straﬂe";"Dresden B¸naustraﬂe";"TRAM";"12"
"19:22 (69720)";"19:24 (69840)";"Dresden B¸naustraﬂe";"Dresden Malterstraﬂe";"TRAM";"7"
"19:24 (69840)";"19:25 (69900)";"Dresden Malterstraﬂe";"Dresden Koblenzer Straﬂe";"TRAM";"7"
"19:25 (69900)";"19:26 (69960)";"Dresden Koblenzer Straﬂe";"Dresden Julius-Vahlteich-Str.";"TRAM";"7"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"19:52 (71520)";"19:53 (71580)";"Dresden Wˆlfnitz";"Dresden Koblenzer Straﬂe";"TRAM";"6"
"Next";"Trips";"";"";"Taking:";"0:30 (1800)"
"19:53 (71580)";"19:54 (71640)";"Dresden Koblenzer Straﬂe";"Dresden Malterstraﬂe";"TRAM";"6"
"19:54 (71640)";"19:56 (71760)";"Dresden Malterstraﬂe";"Dresden B¸naustraﬂe";"TRAM";"6"
